nu,threshold,M,Mzero,Mone,Mtwo_ud,Mtwo_uu,Mthree,Mother,E,dE,err,keptDim
12,2.4414062500000000e-04,1163,1,424,354,348,36,0,-14.6437694993149510,5.3619678586969144e-04,2.3590500685049420e-02,1163
13,1.2207031250000000e-04,1633,1,480,468,492,192,0,-14.6442162908573987,8.9405243421936120e-05,2.3143709142601665e-02,1633
14,6.1035156250000000e-05,2229,1,612,536,636,444,0,-14.6442691416460420,3.6554454778681134e-05,2.3090858353958410e-02,2229
15,3.0517578125000000e-05,2561,1,664,610,732,552,2,-14.6442940429817146,1.1653119106114218e-05,2.3065957018285843e-02,2561
16,1.5258789062500000e-05,2853,1,664,638,828,720,2,-14.6442960675755849,9.6285252357830586e-06,2.3063932424415512e-02,2853
