sampleID,kappa,inner,epsilon,M,Mzero,Mone,Mtwo_ud,Mtwo_uu,Mthree,E,err,Ezero,Eone,Etwo_ud,Etwo_uu,Ethree,kept,solverResidual,assemblyTime,solveTime,importanceTime,blockEnergyTime,growTime,saveTime,totalInnerTimeNoSave,totalInnerTimeWithSave,cumulativeTime,nImportant,scoreMax,scoreMinNonzero,nGrowRaw,nNewM,nAdded,nnzS,nnzH,sparseGB_est,basisFile
1,1,1,0.5,508,1,201,132,108,66,-7.47161988797298,0.00644011202701655,-6.83049154471761,-1.23977473612822,0.583664639507842,0.0111906958679934,0.00379105749699704,508,2.6589070672849e-15,40.4492626,0.0359024,0.0014902,0.0077221,0.0201252,0.2826528,40.5165332,40.799186,40.5180648,1,0.998460029780095,9.80985054036543e-06,509,508,0,246424,258064,0.00752504169940948,JH_LiGround_Table59_basis_byM_nu12_M508_sample0001_kappa1_inner1_M508.mat
2,2,1,0.25,508,1,201,132,108,66,-7.47161988797298,0.00644011202701655,-6.83049154471761,-1.23977473612822,0.583664639507842,0.0111906958679934,0.00379105749699704,508,2.6589070672849e-15,37.6227965,0.0325136,0.000678,0.0066646,0.0105189,0.2912751,37.676712,37.9679871,78.7589235,1,0.998460029780095,9.80985054036543e-06,509,508,0,246424,258064,0.00752504169940948,JH_LiGround_Table59_basis_byM_nu12_M508_sample0002_kappa2_inner1_M508.mat
3,3,1,0.125,508,1,201,132,108,66,-7.47161988797298,0.00644011202701655,-6.83049154471761,-1.23977473612822,0.583664639507842,0.0111906958679934,0.00379105749699704,508,2.6589070672849e-15,36.9169281,0.038586,0.0008099,0.006095,0.0109169,0.3009916,36.9753711,37.2763627,116.3187116,1,0.998460029780095,9.80985054036543e-06,509,508,0,246424,258064,0.00752504169940948,JH_LiGround_Table59_basis_byM_nu12_M508_sample0003_kappa3_inner1_M508.mat
4,4,1,0.0625,508,1,201,132,108,66,-7.47161988797298,0.00644011202701655,-6.83049154471761,-1.23977473612822,0.583664639507842,0.0111906958679934,0.00379105749699704,508,2.6589070672849e-15,36.8636243,0.0331783,0.0011119,0.0046357,0.0106061,0.2925957,36.9182248,37.2108205,153.8321026,1,0.998460029780095,9.80985054036543e-06,509,508,0,246424,258064,0.00752504169940948,JH_LiGround_Table59_basis_byM_nu12_M508_sample0004_kappa4_inner1_M508.mat
5,5,1,0.03125,508,1,201,132,108,66,-7.47161988797298,0.00644011202701655,-6.83049154471761,-1.23977473612822,0.583664639507842,0.0111906958679934,0.00379105749699704,508,2.6589070672849e-15,36.7390328,0.0384639,0.0026004,0.010403,0.0467662,0.3037697,36.8395025,37.1432722,191.2518415,3,0.998460029780095,9.80985054036543e-06,548,532,24,246424,258064,0.00752504169940948,JH_LiGround_Table59_basis_byM_nu12_M508_sample0005_kappa5_inner1_M508.mat
6,5,2,0.03125,532,1,201,156,108,66,-7.4731315894112,0.00492841058880433,-6.16640453568903,-2.59247553251318,1.26946074626896,0.0294288236885798,-0.0131410911665308,532,1.4240497153904e-15,38.3471643,0.0343589,0.0005632,0.0050327,0.0267286,0.2948958,38.4158505,38.7107463,229.9744845,4,0.998405221451133,7.09577492374514e-05,585,532,0,271384,283024,0.00826926529407501,JH_LiGround_Table59_basis_byM_nu12_M508_sample0006_kappa5_inner2_M532.mat
7,6,1,0.015625,532,1,201,156,108,66,-7.4731315894112,0.00492841058880433,-6.16640453568903,-2.59247553251318,1.26946074626896,0.0294288236885798,-0.0131410911665308,532,1.4240497153904e-15,38.2818976,0.034399,0.0005513,0.0040815,0.0253782,0.3029889,38.3477629,38.6507518,268.9035982,5,0.998405221451133,7.09577492374514e-05,611,556,24,271384,283024,0.00826926529407501,JH_LiGround_Table59_basis_byM_nu12_M508_sample0007_kappa6_inner1_M532.mat
8,6,2,0.015625,556,1,201,180,108,66,-7.47325312997466,0.00480687002533653,-6.16652976036266,-2.57297176595591,1.24963329795628,0.017064120119472,-0.000449021731821666,556,1.76619248623534e-15,38.9985478,0.0512355,0.0007339,0.0062777,0.0278884,0.3059907,39.0863353,39.392326,308.2950456,5,0.998373153514725,3.97641882872132e-05,635,556,0,297496,309136,0.00904782116413116,JH_LiGround_Table59_basis_byM_nu12_M508_sample0008_kappa6_inner2_M556.mat
9,7,1,0.0078125,556,1,201,180,108,66,-7.47325312997466,0.00480687002533653,-6.16652976036266,-2.57297176595591,1.24963329795628,0.017064120119472,-0.000449021731821666,556,1.76619248623534e-15,39.1015,0.046417,0.0005105,0.005035,0.2166551,0.3214856,39.3717548,39.6932404,348.2682985,53,0.998373153514725,3.97641882872132e-05,1643,1279,723,297496,309136,0.00904782116413116,JH_LiGround_Table59_basis_byM_nu12_M508_sample0009_kappa7_inner1_M556.mat
10,7,2,0.0078125,1279,1,261,738,213,66,-7.4757549009898,0.00230509901020337,-5.56711504157233,-3.72342408889933,1.80714658884201,0.00373129730470203,0.00390634333517791,1279,1.91929131970069e-15,112.6334388,0.3250699,0.0016695,0.0278478,0.2314735,0.4799408,113.2217541,113.7016949,461.8139713,54,0.998186873960367,1.42519876642734e-14,2427,1557,278,1606795,1627423,0.0482126772403717,JH_LiGround_Table59_basis_byM_nu12_M508_sample0010_kappa7_inner2_M1279.mat
11,7,3,0.0078125,1557,1,261,1016,213,66,-7.47577140876039,0.00228859123960934,-5.5650143473235,-3.72287884595501,1.80491193326738,0.0032276795816019,0.00398217166913481,1557,2.05085801212949e-15,136.4090464,0.5816644,0.0020481,0.0405687,0.0937665,0.5204707,137.1296386,137.6501093,599.4301306,29,0.998183281102518,6.66481625650271e-15,2055,1557,0,2392395,2414823,0.071656346321106,JH_LiGround_Table59_basis_byM_nu12_M508_sample0011_kappa7_inner3_M1557.mat
12,8,1,0.00390625,1557,1,261,1016,213,66,-7.47577140876039,0.00228859123960934,-5.5650143473235,-3.72287884595501,1.80491193326738,0.0032276795816019,0.00398217166913481,1557,2.05085801212949e-15,135.4386841,0.6290308,0.0023532,0.0431631,0.4544416,0.5875141,136.5704294,137.1579435,737.0579571,120,0.998183281102518,6.66481625650271e-15,4091,2453,896,2392395,2414823,0.071656346321106,JH_LiGround_Table59_basis_byM_nu12_M508_sample0012_kappa8_inner1_M1557.mat
13,8,2,0.00390625,2453,1,369,1502,515,66,-7.476403681932,0.00165631806800182,-5.76757896702956,-3.33022011382528,1.61703217647429,0.000436074839656311,0.00392714760886046,2453,4.1192394804622e-15,320.8125086,2.0861205,0.0058102,0.0980293,0.5082033,0.8592422,323.5142754,324.3735176,1061.1693119,144,0.998172602748153,5.07192741777819e-14,5689,2861,408,5968207,6004351,0.17844158411026,JH_LiGround_Table59_basis_byM_nu12_M508_sample0013_kappa8_inner2_M2453.mat
14,8,3,0.00390625,2861,1,369,1910,515,66,-7.47641148232108,0.00164851767891783,-5.7687905588875,-3.32864857236017,1.61708033668742,2.3964514176536e-05,0.0039233477250044,2861,2.44097657936717e-15,378.1102751,3.08417,0.0060459,0.1383832,0.4830787,0.882872,381.8262096,382.7090816,1443.8741681,144,0.998171054240924,4.55995017593254e-15,6097,2861,0,8132623,8171551,0.242993772029877,JH_LiGround_Table59_basis_byM_nu12_M508_sample0014_kappa8_inner3_M2861.mat
15,9,1,0.001953125,2861,1,369,1910,515,66,-7.47641148232108,0.00164851767891783,-5.7687905588875,-3.32864857236017,1.61708033668742,2.3964514176536e-05,0.0039233477250044,2861,2.44097657936717e-15,378.0757647,3.1044721,0.0062293,0.1416752,1.2682755,0.9723642,382.6004808,383.572845,1828.2565849,330,0.998171054240924,4.55995017593254e-15,10681,5765,2904,8132623,8171551,0.242993772029877,JH_LiGround_Table59_basis_byM_nu12_M508_sample0015_kappa9_inner1_M2861.mat
16,9,2,0.001953125,5765,1,425,4494,608,237,-7.4767387663907,0.00132123360929803,-5.89977698511445,-3.07716352682275,1.50197003631932,-0.00998517634642689,0.00821688557359122,5765,7.58620409214165e-15,1096.5758135,29.7269632,0.0248694,0.5082887,1.7962009,1.8795704,1128.6405364,1130.5201068,2957.8956097,452,0.99814487192264,2.17655487496173e-14,16677,8029,2264,33076567,33183079,0.987431585788727,JH_LiGround_Table59_basis_byM_nu12_M508_sample0016_kappa9_inner2_M5765.mat
17,9,3,0.001953125,8029,1,497,6686,608,237,-7.47679124667671,0.00126875332329313,-5.86921995675644,-3.12205398378448,1.5171053717377,-0.0110470283893009,0.00842435051585488,8029,9.17721779256852e-15,1929.4142177,65.0521613,0.0455032,1.0985196,1.8233028,2.5474535,1997.4432619,1999.9907154,4957.3080232,478,0.998139962974491,1.35667710142419e-14,19601,8967,938,64266031,64398751,1.91737431287766,JH_LiGround_Table59_basis_byM_nu12_M508_sample0017_kappa9_inner3_M8029.mat
18,10,1,0.0009765625,8967,1,545,7576,608,237,-7.47679251961031,0.00126748038969282,-5.87187277538667,-3.11665385267823,1.51449546253655,-0.0111401367772016,0.00837878269516767,8966,2.10287585210653e-10,2373.2626564,90.553948,0.062584,1.3163837,6.2124333,3.3772639,2471.4195973,2474.7968612,7434.210095,1511,0.998139918875668,3.00694524653719e-15,46316,22630,13663,80196783,80337471,2.39228042960167,JH_LiGround_Table59_basis_byM_nu12_M508_sample0018_kappa10_inner1_M8967.mat
