sampleID,kappa,inner,epsilon,M,Mzero,Mone,Mtwo_uu,E,err,Ezero,Eone,Etwo_uu,kept,solverResidual,assemblyTime,solveTime,importanceTime,blockEnergyTime,growTime,saveTime,totalInnerTimeNoSave,totalInnerTimeWithSave,cumulativeTime,nImportant,scoreMax,scoreMinNonzero,nGrowRaw,nAdded,basisFile
1,1,1,0.5,314,1,115,198,-2.17471072101832,0.000518657218471663,-2.24296749370858,0.0633201243641932,0.00493664832606126,314,8.31084976592275e-16,42.1524569,0.0421201,0.0238303,0.0141136,0.020054,0.6583904,42.2670748,42.9254652,42.2697107,1,0.999924492389835,0.000168949038465895,1,0,JH_HeTriplet_basis_byM_sample0001_kappa1_inner1_M314.mat
2,2,1,0.25,314,1,115,198,-2.17471072101832,0.000518657218471663,-2.24296749370858,0.0633201243641932,0.00493664832606126,314,8.31084976592275e-16,35.1144111,0.0371026,0.0049095,0.00598,0.0132886,0.5687786,35.1807804,35.749559,78.1427925,1,0.999924492389835,0.000168949038465895,1,0,JH_HeTriplet_basis_byM_sample0002_kappa2_inner1_M314.mat
3,3,1,0.125,314,1,115,198,-2.17471072101832,0.000518657218471663,-2.24296749370858,0.0633201243641932,0.00493664832606126,314,8.31084976592275e-16,34.4070445,0.0294375,0.003807,0.0176688,0.012634,0.5189305,34.4744264,34.9933569,113.198664,1,0.999924492389835,0.000168949038465895,1,0,JH_HeTriplet_basis_byM_sample0003_kappa3_inner1_M314.mat
4,4,1,0.0625,314,1,115,198,-2.17471072101832,0.000518657218471663,-2.24296749370858,0.0633201243641932,0.00493664832606126,314,8.31084976592275e-16,35.1762572,0.0422567,0.0035898,0.0047549,0.0167297,0.5409448,35.2480167,35.7889615,148.9785999,1,0.999924492389835,0.000168949038465895,1,0,JH_HeTriplet_basis_byM_sample0004_kappa4_inner1_M314.mat
5,5,1,0.03125,314,1,115,198,-2.17471072101832,0.000518657218471663,-2.24296749370858,0.0633201243641932,0.00493664832606126,314,8.31084976592275e-16,34.1551759,0.0414075,0.0150687,0.0048672,0.0226302,0.5604896,34.2578143,34.8183039,183.7935263,1,0.999924492389835,0.000168949038465895,1,0,JH_HeTriplet_basis_byM_sample0005_kappa5_inner1_M314.mat
