sampleID,kappa,inner,epsilon,M,Mzero,Mone,Mtwo_uu,E,err,Ezero,Eone,Etwo_uu,kept,solverResidual,assemblyTime,solveTime,importanceTime,blockEnergyTime,growTime,saveTime,totalInnerTimeNoSave,totalInnerTimeWithSave,cumulativeTime,nImportant,scoreMax,scoreMinNonzero,nGrowRaw,nAdded,basisFile
1,1,1,0.5,201,1,98,102,-2.17439713197143,0.00083224626536138,-2.16048565005543,-0.0182954619968892,0.00438398008087769,201,9.0957269602723e-16,15.9865895,0.0044728,0.0025478,0.003891,0.0051249,0.1051925,16.0049952,16.1101877,16.0054407,1,0.99997589722047,7.41580028942355e-06,1,0,JH_HeTriplet_basis_byM_sample0001_kappa1_inner1_M201.mat
2,2,1,0.25,201,1,98,102,-2.17439713197143,0.00083224626536138,-2.16048565005543,-0.0182954619968892,0.00438398008087769,201,9.0957269602723e-16,16.1675598,0.0085697,0.0021701,0.0025648,0.0069941,0.1891019,16.1903466,16.3794485,32.3073256,1,0.99997589722047,7.41580028942355e-06,1,0,JH_HeTriplet_basis_byM_sample0002_kappa2_inner1_M201.mat
3,3,1,0.125,201,1,98,102,-2.17439713197143,0.00083224626536138,-2.16048565005543,-0.0182954619968892,0.00438398008087769,201,9.0957269602723e-16,18.0910777,0.0048828,0.0012782,0.0056815,0.0046515,0.1100107,18.109363,18.2193737,50.6180301,1,0.99997589722047,7.41580028942355e-06,1,0,JH_HeTriplet_basis_byM_sample0003_kappa3_inner1_M201.mat
4,4,1,0.0625,201,1,98,102,-2.17439713197143,0.00083224626536138,-2.16048565005543,-0.0182954619968892,0.00438398008087769,201,9.0957269602723e-16,17.0134072,0.0069497,0.0015161,0.0012209,0.0077833,0.1717976,17.0328901,17.2046877,67.7692302,1,0.99997589722047,7.41580028942355e-06,1,0,JH_HeTriplet_basis_byM_sample0004_kappa4_inner1_M201.mat
5,5,1,0.03125,201,1,98,102,-2.17439713197143,0.00083224626536138,-2.16048565005543,-0.0182954619968892,0.00438398008087769,201,9.0957269602723e-16,15.5805171,0.0072093,0.0055072,0.0010935,0.006025,0.1297808,15.6053859,15.7351667,83.5600819,1,0.99997589722047,7.41580028942355e-06,1,0,JH_HeTriplet_basis_byM_sample0005_kappa5_inner1_M201.mat
