mode,nu,thr,M,Mzero,Mone,Mtwo_uu,E,dE
raw_coeff,65,2.71050543121376e-20,1051,1,366,684,-2.17472486311545,0
raw_coeff,66,1.35525271560688e-20,1051,1,366,684,-2.17472486311545,0
raw_coeff,67,6.7762635780344e-21,1051,1,366,684,-2.17472486311545,0
raw_coeff,68,3.3881317890172e-21,1051,1,366,684,-2.17472486311545,0
raw_coeff,69,1.6940658945086e-21,1051,1,366,684,-2.17472486311545,0
raw_coeff,70,8.470329472543e-22,1051,1,366,684,-2.17472486311545,0
raw_coeff,71,4.2351647362715e-22,1051,1,366,684,-2.17472486311545,0
raw_coeff,72,2.11758236813575e-22,1051,1,366,684,-2.17472486311545,0
raw_coeff,73,1.05879118406788e-22,1051,1,366,684,-2.17472486311545,0
raw_coeff,74,5.29395592033938e-23,1051,1,366,684,-2.17472486311545,0
raw_coeff,75,2.64697796016969e-23,1051,1,366,684,-2.17472486311545,0
raw_coeff,76,1.32348898008484e-23,1051,1,366,684,-2.17472486311545,0
raw_coeff,77,6.61744490042422e-24,1051,1,366,684,-2.17472486311545,0
raw_coeff,78,3.30872245021211e-24,1051,1,366,684,-2.17472486311545,0
raw_coeff,79,1.65436122510606e-24,1051,1,366,684,-2.17472486311545,0
raw_coeff,80,8.27180612553028e-25,1051,1,366,684,-2.17472486311545,0
diag_mass,0,1,1,1,0,0,-2.17424361453112,0.000481248584334182
diag_mass,1,0.5,1,1,0,0,-2.17424361453112,0.000481248584334182
diag_mass,2,0.25,1,1,0,0,-2.17424361453112,0.000481248584334182
diag_mass,3,0.125,1,1,0,0,-2.17424361453112,0.000481248584334182
diag_mass,4,0.0625,1,1,0,0,-2.17424361453112,0.000481248584334182
diag_mass,5,0.03125,2,1,1,0,-2.17424361453112,0.000481248584334626
diag_mass,6,0.015625,2,1,1,0,-2.17424361453112,0.000481248584334626
diag_mass,7,0.0078125,20,1,19,0,-2.1742436145346,0.000481248580852522
diag_mass,8,0.00390625,34,1,33,0,-2.17424361454793,0.000481248567523185
diag_mass,9,0.001953125,106,1,51,54,-2.17461762269065,0.000107240424797261
diag_mass,10,0.0009765625,214,1,63,150,-2.1746513471561,7.35159593552304e-05
diag_mass,11,0.00048828125,314,1,115,198,-2.17471072101832,1.41420971315753e-05
diag_mass,12,0.000244140625,424,1,153,270,-2.17472024786888,4.61524657380252e-06
diag_mass,13,0.0001220703125,448,1,153,294,-2.17472217446556,2.68864989427797e-06
diag_mass,14,6.103515625e-05,550,1,207,342,-2.17472360133161,1.26178384052267e-06
diag_mass,15,3.0517578125e-05,654,1,263,390,-2.17472383451968,1.02859576855963e-06
